marca,modelo,emplacados,acumulado_anual,categoria,data
FIAT,MOBI,6007,32240,Veículos de Entrada,2024-06-02
RENAULT,KWID,4520,25635,Veículos de Entrada,2024-06-02
VW,GOL,2,30,Veículos de Entrada,2024-06-02
FIAT,UNO,0,7,Veículos de Entrada,2024-06-02
GM,CHEVETTE,1,3,Veículos de Entrada,2024-06-02
VW,UP,0,3,Veículos de Entrada,2024-06-02
FIAT,PALIO,0,2,Veículos de Entrada,2024-06-02
FORD,KA,1,1,Veículos de Entrada,2024-06-02
GM,CELTA,0,1,Veículos de Entrada,2024-06-02
VW,POLO,9683,57862,Hatch Pequenos,2024-06-02
GM,ONIX,8852,43603,Hatch Pequenos,2024-06-02
HYUNDAI,HB20,9760,42696,Hatch Pequenos,2024-06-02
FIAT,ARGO,7423,39624,Hatch Pequenos,2024-06-02
TOYOTA,YARIS_HB,2336,12314,Hatch Pequenos,2024-06-02
CITROEN,C3,1985,10131,Hatch Pequenos,2024-06-02
PEUGEOT,208,2368,9871,Hatch Pequenos,2024-06-02
BYD,DOLPHIN,1514,9608,Hatch Pequenos,2024-06-02
BYD,DOLPHIN_MINI,1318,9050,Hatch Pequenos,2024-06-02
HONDA,CITY_HATCH,1232,5674,Hatch Pequenos,2024-06-02
GWM,ORA_03,589,3687,Hatch Pequenos,2024-06-02
RENAULT,SANDERO,217,2095,Hatch Pequenos,2024-06-02
AUDI,A3,28,187,Hatch Médios,2024-06-02
GM,CRUZE_HB,12,173,Hatch Médios,2024-06-02
HONDA,CIVIC_TYPE-R,7,45,Hatch Médios,2024-06-02
MBENZ,CLASSE_A,7,33,Hatch Médios,2024-06-02
TOYOTA,COROLLA_GR,7,29,Hatch Médios,2024-06-02
BMW,118i,1,26,Hatch Médios,2024-06-02
FIAT,CRONOS,3400,16763,Sedans Pequenos,2024-06-02
HYUNDAI,HB20S,3759,14081,Sedans Pequenos,2024-06-02
RENAULT,LOGAN,312,1493,Sedans Pequenos,2024-06-02
VW,VOYAGE,2,7,Sedans Pequenos,2024-06-02
FIAT,SIENA,1,4,Sedans Pequenos,2024-06-02
FORD,KA_SEDAN,0,1,Sedans Pequenos,2024-06-02
GM,PRISMA,0,1,Sedans Pequenos,2024-06-02
GM,ONIX_PLUS,6538,29907,Sedans Compactos,2024-06-02
VW,VIRTUS,2560,14986,Sedans Compactos,2024-06-02
TOYOTA,YARIS_SEDAN,2088,9772,Sedans Compactos,2024-06-02
HONDA,CITY,1343,6200,Sedans Compactos,2024-06-02
NISSAN,VERSA,1275,5950,Sedans Compactos,2024-06-02
GM,COBALT,1,1,Sedans Compactos,2024-06-02
TOYOTA,COROLLA,3189,16502,Sedans médios,2024-06-02
NISSAN,SENTRA,494,2532,Sedans médios,2024-06-02
BYD,SEAL,283,2193,Sedans médios,2024-06-02
VW,JETTA,271,1550,Sedans médios,2024-06-02
GM,CRUZE_SEDAN,40,718,Sedans médios,2024-06-02
HONDA,CIVIC,107,698,Sedans médios,2024-06-02
MBENZ,CLA200,47,233,Sedans médios,2024-06-02
AUDI,A3_SEDAN,29,211,Sedans médios,2024-06-02
AUDI,A5,38,174,Sedans médios,2024-06-02
BYD,KING,78,78,Sedans médios,2024-06-02
BMW,420I,9,64,Sedans médios,2024-06-02
MBENZ,CLA45,8,49,Sedans médios,2024-06-02
MBENZ,CLA35,16,30,Sedans médios,2024-06-02
CAOA_CHERY,ARRIZO_6,0,24,Sedans médios,2024-06-02
BMW,218I,3,15,Sedans médios,2024-06-02
JAC,E-J7,1,12,Sedans médios,2024-06-02
TESLA,MODEL_3,2,4,Sedans médios,2024-06-02
HYUNDAI,IONIQ,0,3,Sedans médios,2024-06-02
HYUNDAI,ELANTRA,1,2,Sedans médios,2024-06-02
GM,IMPALA,1,1,Sedans médios,2024-06-02
KIA,CERATO,0,1,Sedans médios,2024-06-02
BMW,320I,424,2083,Sedans Grandes,2024-06-02
MBENZ,CLASSE_C,65,584,Sedans Grandes,2024-06-02
PORSCHE,PANAMERA,28,198,Sedans Grandes,2024-06-02
BMW,330E,46,155,Sedans Grandes,2024-06-02
HONDA,ACCORD,15,114,Sedans Grandes,2024-06-02
