marca,modelo,emplacados,acumulado_anual,data,,,,
FIAT,MOBI,3719,3719,1/2/2024,,,,
RENAULT,KWID,3096,3096,1/2/2024,,,,
VW,GOL,8,8,1/2/2024,,,,
FIAT,UNO,2,2,1/2/2024,,,,
FIAT,PALIO,1,1,1/2/2024,,,,
HYUNDAI,HB20,7478,7478,1/2/2024,,,,
VW,POLO,7258,7258,1/2/2024,,,,
GM,ONIX,5714,5714,1/2/2024,,,,
FIAT,ARGO,4696,4696,1/2/2024,,,,
TOYOTA,YARIS_HB,2003,2003,1/2/2024,,,,
CITROEN,C3,1879,1879,1/2/2024,,,,
PEUGEOT,208,1825,1825,1/2/2024,,,,
BYD,DOLPHIN,1820,1820,1/2/2024,,,,
HONDA,CITY_HATCH,794,794,1/2/2024,,,,
GWM,ORA_03,696,696,1/2/2024,,,,
RENAULT,SANDERO,439,439,1/2/2024,,,,
JAC,E-JS1,111,111,1/2/2024,,,,
GM,CRUZE_HB,35,35,1/2/2024,,,,
AUDI,A3,23,23,1/2/2024,,,,
HONDA,CIVIC_TYPE-R,13,13,1/2/2024,,,,
TOYOTA,COROLLA_GR,7,7,1/2/2024,,,,
MBENZ,CLASSE_A,3,3,1/2/2024,,,,
VW,GOLF,3,3,1/2/2024,,,,
FIAT,CRONOS,2926,2926,1/2/2024,,,,
HYUNDAI,HB20S,1702,1702,1/2/2024,,,,
RENAULT,LOGAN,72,72,1/2/2024,,,,
GM,PRISMA,1,1,1/2/2024,,,,
FIAT,SIENA,0,0,1/2/2024,,,,
VW,VOYAGE,0,0,1/2/2024,,,,
GM,ONIX_PLUS,3559,3559,1/2/2024,,,,
VW,VIRTUS,2372,2372,1/2/2024,,,,
TOYOTA,YARIS_SEDAN,1685,1685,1/2/2024,,,,
NISSAN,VERSA,938,938,1/2/2024,,,,
HONDA,CITY,927,927,1/2/2024,,,,
VW,POLO_SEDAN,1,1,1/2/2024,,,,
TOYOTA,COROLLA,2142,2142,1/2/2024,,,,
BYD,SEAL,612,612,1/2/2024,,,,
NISSAN,SENTRA,308,308,1/2/2024,,,,
VW,JETTA,224,224,1/2/2024,,,,
HONDA,CIVIC,151,151,1/2/2024,,,,
GM,CRUZE_SEDAN,104,104,1/2/2024,,,,
AUDI,A3_SEDAN,56,56,1/2/2024,,,,
AUDI,A5,17,17,1/2/2024,,,,
CAOA_CHERY,ARRIZO_6,16,16,1/2/2024,,,,
BMW,420I,9,9,1/2/2024,,,,
MBENZ,CLA35,4,4,1/2/2024,,,,
HYUNDAI,IONIQ,3,3,1/2/2024,,,,
JAC,E-J7,3,3,1/2/2024,,,,
MBENZ,CLA45,2,2,1/2/2024,,,,
BMW,218I,1,1,1/2/2024,,,,
HYUNDAI,ELANTRA,1,1,1/2/2024,,,,
VW,SANTANA,1,1,1/2/2024,,,,
KIA,CERATO,0,0,1/2/2024,,,,
BMW,320I,237,237,1/2/2024,,,,
MBENZ,CLASSE_C,57,57,1/2/2024,,,,
MBENZ,CLA200,49,49,1/2/2024,,,,
HONDA,ACCORD,39,39,1/2/2024,,,,
PORSCHE,PANAMERA,25,25,1/2/2024,,,,
BMW,330E,24,24,1/2/2024,,,,
BYD,HAN,19,19,1/2/2024,,,,
LEXUS,ES300,15,15,1/2/2024,,,,
AUDI,A4,9,9,1/2/2024,,,,
BMW,I4,6,6,1/2/2024,,,,
TOYOTA,CAMRY,6,6,1/2/2024,,,,
BMW,530E,2,2,1/2/2024,,,,
AUDI,RS6_AVANT,6,6,1/2/2024,,,,
